symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
LYPLA1	-0.0466666666666667	-0.01	-0.642390055997497	0.537567506806615	0.702775739350559	-7.71878318658644	Ns
TRIM48	0.0466666666666667	-0.0133333333333333	0.638915823115374	0.539719111393405	0.704640002758576	-7.72115324291664	Ns
DECR2	-0.0466666666666667	-0.26	-0.638602771601041	0.539913235938261	0.70477500924184	-7.72136622762207	Ns
S100A8	-0.0466666666666667	-0.01	-0.627630596932669	0.54674320799635	0.710031980206772	-7.72877116067868	Ns
LOC102724453	-0.0466666666666667	0.01	-0.626741571433994	0.5472988238424	0.710595158336295	-7.72936603084388	Ns
OR11A1	-0.0466666666666667	-0.0533333333333333	-0.625268220683026	0.548220354824552	0.711395346021705	-7.7303501956824	Ns
SNORD13P1	0.0466666666666667	0.0366666666666667	0.624389182187684	0.548770595967988	0.711996961282555	-7.73093636737606	Ns
RN7SL413P	-0.0466666666666667	0.02	-0.605674984912499	0.560561126923413	0.721743353508121	-7.74323666906348	Ns
RNU4ATAC2P	-0.0466666666666667	0	-0.597823796069906	0.565550653048606	0.725642117842216	-7.74829484550784	Ns
KPNA7	-0.0466666666666667	-0.04	-0.590270217712399	0.570374814552567	0.729863061533803	-7.75310400218762	Ns
RNA5SP179	-0.0466666666666667	0.01	-0.584429257320145	0.574121076775289	0.732685754607768	-7.75678415381566	Ns
RN7SL468P	-0.0466666666666667	0.0266666666666667	-0.579692027305515	0.577169544563278	0.735279236633652	-7.75974408675943	Ns
SIGLEC6	-0.0466666666666667	1.73472347597681e-18	-0.573249344509053	0.581329951014606	0.738811122105754	-7.76373389319229	Ns
LOC101928787	-0.0466666666666667	-0.03	-0.571896503942378	0.582205665290005	0.739319354958819	-7.7645664357068	Ns
GTF3C5	0.0466666666666667	-0.09	0.567235906936408	0.585228120051772	0.742308124846076	-7.76742063184135	Ns
CDK15	-0.0466666666666667	0.0133333333333333	-0.555962077127176	0.592574890752736	0.747463577528939	-7.77423521323738	Ns
SELO	-0.0466666666666667	-0.0166666666666667	-0.550471318275148	0.596171112805896	0.750186811692421	-7.77750810496509	Ns
CYP2A7P1	0.0466666666666667	0.0133333333333333	0.539394416753393	0.603461717128687	0.754999315106464	-7.78401859809149	Ns
SLC16A6	-0.0466666666666667	-0.0166666666666667	-0.502317766037281	0.628204945992003	0.772764695003727	-7.80490804542795	Ns
ZFYVE19	0.0466666666666667	-0.0433333333333333	0.492131386200573	0.635092389885859	0.777543642962111	-7.81040207898604	Ns
RN7SL193P	0.0466666666666667	-0.0466666666666667	0.489574420732196	0.636827191046813	0.778808444838288	-7.81176449427219	Ns
GIMAP1	0.0466666666666667	-0.0366666666666667	0.427309649919351	0.679779492479305	0.81004246797971	-7.8428564120951	Ns
RN7SKP25	0.0466666666666667	-0.00333333333333333	0.419648254854013	0.685155036528828	0.813619424077923	-7.84640331651251	Ns
