symbol	loading
CTR9	-0.0141380892490798
VPS52	-0.0141351458049082
ARF1	-0.0141347566152589
ZFAND1	-0.0141346093648399
FRYL	-0.0141313366801837
LIFR	-0.0141312331956608
WRB	-0.0141302335684165
MAP3K13	-0.0141298941699916
MCMBP	-0.0141295261352322
RAB5B	-0.014127575056665
MAP1B	-0.0141269288761059
LRRC59	-0.0141267787613999
ARF4	-0.0141243922120873
ASH2L	-0.0141234909235635
CFL1	-0.0141227301135799
CTSZ	-0.0141199609200992
KCNG1	-0.0141183923935442
EPB41L3	-0.0141179833998372
TIPARP	-0.0141171268297447
SSUH2	-0.0141158602098299
PDXDC1	-0.0141148664324425
CCNG1	-0.0141141863120421
KDM5B	-0.0141133497945959
SNW1	-0.0141131612662126
ABHD4	-0.0141130003985597
YWHAE	-0.014112887622657
NUDT15	-0.0141117458905788
LOC100996517	-0.0141092701872314
ARHGAP29	-0.0141087536270134
ARSE	-0.014107407991827
AZI2	-0.0141065844913697
NF1	-0.0141023950833013
ZCWPW1	-0.014101221396277
UNC50	-0.0141005965219308
ATP6V0D1	-0.0141005004965509
PPP2R5D	-0.0141002925285805
APOO	-0.0140993105118799
KLF6	-0.0140976973141926
PLOD2	-0.0140974519061249
ZNF12	-0.0140898798863151
PRKRA	-0.0140856836749021
FKBP3	-0.0140823168596051
LMNB1	-0.0140813842257999
SEPT11	-0.0140811952818869
UXT	-0.014079547634872
PIP5K1A	-0.014078399602404
MRPL40	-0.0140780248297252
ACTR1A	-0.014075800228749
CCT4	-0.0140747386486238
LAMTOR3	-0.01407363707317
B4GALT4	-0.0140733877886104
SCML2	-0.0140732523678355
INTS7	-0.0140730651546198
MBD1	-0.0140718498178068
GNAQ	-0.0140711183540392
SLC9A3R1	-0.0140692587878593
MED18	-0.0140678793979993
NDN	-0.0140656011385988
PRR13	-0.0140642081537052
KIF3B	-0.0140634427973395
MSH6	-0.0140625427010893
NSUN3	-0.0140612065971766
ATXN10	-0.0140567972410365
RNF170	-0.0140552935784933
COMMD8	-0.0140547458764393
NPEPPS	-0.0140540902824192
TBX3	-0.0140537339107057
COMMD3-BMI1	-0.0140533865366436
FAM188A	-0.0140530419080577
OSER1	-0.0140511471248898
GFPT1	-0.0140490813970635
SNTG2	0.0140486600511085
LPGAT1	-0.0140474919586762
PTP4A2	-0.0140441298138581
RHOA	-0.0140433341773022
RIC8A	-0.014042962219915
CLTB	-0.0140421640722082
RNF125	-0.0140417172164851
SERINC3	-0.0140405918550672
ERI2	-0.0140403703352482
PSMD10	-0.0140403475029629
ABCD4	-0.014039124195401
CETN2	-0.01403872360158
PPP2R5C	-0.0140382877775328
SPARCL1	-0.0140376151439564
TBCA	-0.0140375061396203
UBQLN4	-0.0140339722003978
THOC5	-0.0140308970174634
GDI1	-0.0140305067385886
CFLAR	-0.014029961426317
DOPEY1	-0.0140290393982447
TMSB10	-0.0140282947237918
RGS12	-0.0140277257562052
CARS2	-0.0140261239405469
PITX2	-0.0140258281068843
RRAGC	-0.014025783474135
RACGAP1	-0.0140248009739766
NGRN	-0.0140245379587265
MYL12B	-0.0140223386127444
MRPL9	-0.0140222808195462
SYS1	-0.0140219791775022
CLIC1	-0.0140217262258726
H3F3A	-0.0140194258892963
DARS	-0.0140169882476737
ARFGAP3	-0.0140161538955118
PPFIBP2	-0.0140156287781089
TRIP4	-0.0140142624385754
KLHL9	-0.0140125923147579
GSTO1	-0.0140119025025932
SUPT7L	-0.0140109702343238
TMEM14A	-0.014010858006992
ZNF189	-0.0140096212162332
ID1	-0.0140057354084754
HN1L	-0.0139977885376198
UBA1	-0.0139957780825578
ABCD1	-0.0139940953094878
RAB6A	-0.0139930891300554
SMU1	-0.013992071184281
MPC2	-0.0139920191767464
JUN	-0.0139905155783789
DDX6	-0.0139885244018627
CCND2	-0.0139858455112932
TBX19	-0.0139845832967573
FAM96B	-0.01398395099253
RAB27A	-0.013981730615269
IBTK	-0.0139809381754669
ACTR3	-0.0139797693396625
HEXIM1	-0.0139764177235605
IFITM1	-0.0139735317682444
COL6A1	-0.013972808261234
VWA5A	-0.0139724843412042
COX17	-0.0139694782791819
PSMD9	-0.0139666930183348
COPZ1	-0.0139653750523177
COPS4	-0.0139598200694096
S100A11	-0.0139575867444933
KCTD2	-0.0139568570046988
CTDSP2	-0.0139527675440827
MTUS1	-0.0139498227200767
RB1	-0.0139494001699942
DNAJC15	-0.0139477419543338
KIT	-0.0139451924615633
HDGF	-0.013943672073222
WDR11	-0.013943042718321
TTC3	-0.0139405755344981
CPE	-0.0139390648884076
FNDC3B	-0.0139331599763599
TMBIM1	-0.0139329693463182
SNX7	-0.0139307358805098
RAB1B	-0.0139285052029288
SCAF11	-0.0139284519991779
NECAP2	-0.0139250004675923
MRPL48	-0.0139240724985856
CYFIP1	-0.0139226428266568
NDRG1	-0.013922384366073
RASL12	-0.0139214424165238
GIT2	-0.013920496517668
ATAT1	-0.013919154213927
MARCH3	-0.0139159512172649
OSBPL9	-0.0139146446502369
TAF9B	-0.0139139954887864
BMP4	-0.0139133171943892
SNAPC5	-0.0139130251117899
TTC38	-0.0139123821119567
AIMP1	-0.0139121646270641
URB1	0.0139115538118875
HNRNPM	-0.0139114785800552
FADD	-0.0139113311091528
ULK2	-0.013909107285513
UBL3	-0.0139085198769368
ISCA1	-0.0139079041922543
MAP2K1	-0.0139072238566996
CUBN	-0.0139071498291059
UBE2H	-0.0139068452740276
CAV2	-0.0139062998718899
RBM22	-0.0139046159431094
ZFAND6	-0.013903696575935
EPB41L2	-0.0139030524908938
PPP1CA	-0.0139019808064363
NMT2	-0.0139017212453535
ARRB1	-0.0139015534226131
ARPC5	-0.0139008401018311
UBE2D1	-0.0138971230399398
NFE2L2	-0.0138962527133933
GTF2H5	-0.013896239488404
REST	-0.0138926900048284
NGFRAP1	-0.0138899261152866
KIFAP3	-0.0138892060802467
KANSL1L	-0.0138880640649418
INPPL1	-0.0138860307676363
SYN3	0.0138857371011175
ATXN7L3B	-0.0138817349910078
CUL3	-0.0138813267629672
IK	-0.0138809072981185
EIF1	-0.013880377118017
BAZ2A	-0.0138759269837319
ARPC1A	-0.0138735851607129
RHOBTB3	-0.0138717893465786
LRP10	-0.013868945514984
NCOA4	-0.0138672651501238
IGFBP6	-0.0138662954072239
PCBP1	-0.0138654001555998
CLINT1	-0.0138653416162427
KITLG	-0.0138646627081107
PSMB1	-0.0138600547181766
KIFC3	-0.0138599112923923
CDR1	-0.0138564153176476
SDCBP	-0.0138558491391797
ID3	-0.0138556886297844
SH3BGRL	-0.013855620103755
CLU	0.0138538365052488
ADI1	-0.0138526302943645
CFDP1	-0.0138521116612184
GALNT10	-0.0138498901474605
MRPL22	-0.0138487514714014
CHP1	-0.0138478859172195
SEPT7	-0.0138475004621587
CCDC90B	-0.0138458816242725
EIF4E2	-0.0138441350785736
AES	-0.0138406690501559
RBKS	-0.0138404310778466
AP1G2	-0.0138391020415514
RAB14	-0.0138351650750449
TIPRL	-0.0138325783879165
MPP5	-0.0138308756479851
ATG13	-0.0138287234013001
STK3	-0.0138284971869909
PLGRKT	-0.0138278806760057
CTSB	-0.0138264088593638
CAB39	-0.0138248746551888
MAP2K3	-0.0138222906609129
EPHA2	-0.0138212025338658
LEFTY1	-0.0138200122410555
PHF10	-0.0138139360946923
ZNF217	-0.0138129603462906
WBP5	-0.0138127125646039
MED6	-0.0138122420902836
CCT2	-0.0138101376102238
AGPS	-0.0138101007141396
CRIPT	-0.0138055760831849
