tair_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol_annot	symbol	change	change_labeled
AT2G40290	2620.38883120925	0.511854697285507	0.134571425038385	3.80359126864789	0.000142613415907062	0.000265062415625431		AT2G40290	Up-regulated	Up-regulated (16804)
AT2G04660	271.053736587842	0.599550118756428	0.173068852872045	3.46422888236102	0.000531753856835041	0.000883094306518134	APC2	APC2	Up-regulated	Up-regulated (16804)
AT2G22410	62.8171659089432	0.514104058122715	0.238461076261875	2.15592442247527	0.0310895670955477	0.0383840326812646	SLO1	SLO1	Up-regulated	Up-regulated (16804)
AT2G45400	654.431848286911	0.459993006356533	0.152271532835555	3.02087328990969	0.00252046811565617	0.00369500264915092	BEN1	BEN1	Up-regulated	Up-regulated (16804)
AT2G26480	59.1501690845457	0.541397661979929	0.266552298322015	2.03111233850957	0.042243600101961	0.0511256902309515	UGT76D1	UGT76D1	NotSig	NotSig
AT2G19800	7348.70738009977	0.750035079245766	0.102391739116988	7.32515226046519	2.38627623872387e-13	2.9582891869894e-12	MIOX2	MIOX2	Up-regulated	Up-regulated (16804)
AT2G47960	1421.53124140382	0.62742427603989	0.120427153264684	5.20999009800462	1.88850710219461e-07	6.49154505756051e-07	TRAPPC13	TRAPPC13	Up-regulated	Up-regulated (16804)
AT2G28740	1975.74026328571	0.541428165338327	0.186256926775319	2.90688875153325	0.00365042996095618	0.00520763482866972	HIS4	HIS4	Up-regulated	Up-regulated (16804)
AT2G03980	583.61933722086	0.465954452858493	0.113261963686836	4.11395350823014	3.88939801719283e-05	8.13718167250068e-05		AT2G03980	Up-regulated	Up-regulated (16804)
AT2G36890	214.984445397393	0.740084900976791	0.155141412535479	4.77038908491016	1.83870409061821e-06	5.11153247941646e-06	ATMYB38	ATMYB38	Up-regulated	Up-regulated (16804)
AT2G33740	967.078685113198	0.507453037774035	0.118064959537329	4.29808335820072	1.72281375708137e-05	3.87599975228237e-05	CUTA	CUTA	Up-regulated	Up-regulated (16804)
AT2G32540	127.052139859577	0.870446542868731	0.175479611743672	4.96038562098152	7.03533768330978e-07	2.14219024314874e-06	ATCSLB04	ATCSLB04	Up-regulated	Up-regulated (16804)
AT2G46720	47.1840110217357	0.31693237311551	0.258907629259751	1.22411368881504	0.22090934278933	0.241872405256642	HIC	HIC	NotSig	NotSig
AT2G28970	174.839871315589	0.469125747682221	0.175443585599602	2.67394072048243	0.00749657015248128	0.0101487147489963		AT2G28970	Up-regulated	Up-regulated (16804)
AT2G45830	511.991129683555	0.629597850783359	0.138415676928919	4.54860218692337	5.40034188987235e-06	1.35737606657567e-05	DTA2	DTA2	Up-regulated	Up-regulated (16804)
AT2G39390	3315.59901397041	0.353045122543039	0.173926923652462	2.02984745046424	0.0423720480116543	0.05127073181316		AT2G39390	NotSig	NotSig
AT2G04410	2146.53710089518	0.187232746379337	0.197299420932967	0.948977678160294	0.34263196510349	0.365378945343373		AT2G04410	NotSig	NotSig
AT2G02120	1910.22648246441	1.31286208205613	0.0944838624624032	13.8950932766803	6.78350831917579e-44	6.61553573222477e-41	LCR70	LCR70	Up-regulated	Up-regulated (16804)
AT2G32000	688.899611136245	0.687036542184712	0.107314437896977	6.40208862524418	1.53265652047812e-10	1.01221559301489e-09		AT2G32000	Up-regulated	Up-regulated (16804)
AT2G47220	220.751425570423	0.651928398102422	0.177809451898644	3.66644400025505	0.000245946747548087	0.00043534912616982	ATDUF5	ATDUF5	Up-regulated	Up-regulated (16804)
AT2G30920	421.79890618347	0.61763032401608	0.133409199261063	4.62959321723731	3.66384764246079e-06	9.52712032981171e-06	ATCOQ3	ATCOQ3	Up-regulated	Up-regulated (16804)
AT2G20080	67.6810957509004	0.606234841168937	0.230493487920837	2.63016038603724	0.0085344593763806	0.0114470972577297	TIE2	TIE2	Up-regulated	Up-regulated (16804)
AT2G39130	699.101032516204	0.607162365781345	0.105126809138821	5.77552358675305	7.67141521337033e-09	3.54527948870195e-08		AT2G39130	Up-regulated	Up-regulated (16804)
AT2G45060	610.866501902763	0.656784260007281	0.136143391182917	4.82420963882744	1.40559518115316e-06	4.00871596017501e-06		AT2G45060	Up-regulated	Up-regulated (16804)
AT2G41705	474.227950997806	0.449269127608768	0.117990008416001	3.80768790205325	0.000140272148186911	0.000260995148075583	FEX	FEX	Up-regulated	Up-regulated (16804)
AT2G41440	383.337968650594	0.433904244353847	0.134389821776919	3.22869871108327	0.00124354831559826	0.00192471807009162		AT2G41440	Up-regulated	Up-regulated (16804)
AT2G35420	22.0279054841718	1.01373539327213	0.369986858286613	2.73992270419192	0.00614536350225058	0.00844508115990685	ATL28	ATL28	Up-regulated	Up-regulated (16804)
AT2G29720	205.83956238171	0.553922776222429	0.142829998291621	3.87819633723907	0.000105233774828436	0.000200557203469791	CTF2B	CTF2B	Up-regulated	Up-regulated (16804)
AT2G28260	70.2256046108693	0.530582835024312	0.224066994634292	2.36796515207559	0.0178862205063642	0.0228301524443963	ATCNGC15	ATCNGC15	Up-regulated	Up-regulated (16804)
AT2G03340	930.354763812107	0.693542605891574	0.105659146073587	6.56396186855939	5.23966058583113e-11	3.86557092211173e-10	WRKY3	WRKY3	Up-regulated	Up-regulated (16804)
AT2G41840	14613.8150181603	0.555448495068416	0.108904370014315	5.10033247513762	3.39057364654969e-07	1.10642046337377e-06		AT2G41840	Up-regulated	Up-regulated (16804)
AT2G19640	215.497786729135	0.553555130347527	0.171084095995945	3.23557328415055	0.00121398717985308	0.00188221664625357	ASHR2	ASHR2	Up-regulated	Up-regulated (16804)
AT2G01340	221.152630121469	0.849597475020014	0.193448475621646	4.39185407013333	1.1238812615571e-05	2.63446971067191e-05	At17.1	At17.1	Up-regulated	Up-regulated (16804)
AT2G38090	184.678076570759	0.588417739051638	0.150971577722087	3.89753984114026	9.71748392319047e-05	0.000187082933624554		AT2G38090	Up-regulated	Up-regulated (16804)
AT2G01950	722.867559855067	0.803351008056564	0.141449539944375	5.67941760978848	1.35154131963612e-08	5.94492401764341e-08	BRL2	BRL2	Up-regulated	Up-regulated (16804)
AT2G17150	317.841041265358	0.750611477032963	0.148802603949704	5.04434369499793	4.55080661778779e-07	1.44519335605976e-06	NLP1	NLP1	Up-regulated	Up-regulated (16804)
AT2G42760	191.348097306061	0.511956930616302	0.180525070540019	2.83593258866951	0.0045692089225861	0.00641952382071506		AT2G42760	Up-regulated	Up-regulated (16804)
AT2G13560	4384.40751480167	0.658289270508674	0.133677649665539	4.92445275747825	8.45967628050567e-07	2.52704448985934e-06	NAD-ME1	NAD-ME1	Up-regulated	Up-regulated (16804)
AT2G25940	115.195051757859	0.663665184098082	0.205737911457124	3.22577972818777	0.00125630003363661	0.00194254622037582	AEP1	AEP1	Up-regulated	Up-regulated (16804)
AT2G15230	679.339488793266	0.461221076316747	0.126221415187006	3.65406358052171	0.000258122303922105	0.00045493500725686	ATLIP1	ATLIP1	Up-regulated	Up-regulated (16804)
AT2G41040	266.90569257161	0.681357281169146	0.150140038711841	4.53814510116687	5.67512070776361e-06	1.41947327912798e-05		AT2G41040	Up-regulated	Up-regulated (16804)
AT2G31910	12.1693839081658	0.687874264347732	0.505560999425374	1.36061576175689	0.173635147924263	0.192426830600049	ATCHX21	ATCHX21	NotSig	NotSig
AT2G34610	48.5297249920841	1.65817650082796	0.276524690331198	5.99648624085589	2.01632685389874e-09	1.04675219183387e-08		AT2G34610	Up-regulated	Up-regulated (16804)
AT2G33205	82.1201927134334	0.402901877801956	0.198991625877024	2.02471775395687	0.042896354522926	0.0518666513537326		AT2G33205	NotSig	NotSig
AT2G46640	163.527737498149	0.64417252384595	0.177929608093179	3.62037847859816	0.000294172390461785	0.000512648958190722	TAC1	TAC1	Up-regulated	Up-regulated (16804)
AT2G41945	360.565489890932	0.476225955568764	0.139717801279478	3.40848446803259	0.000653248038781848	0.00106635739153932	RED1	RED1	Up-regulated	Up-regulated (16804)
AT2G30710	727.821705219989	0.492513249835476	0.127515594310081	3.86237661754394	0.00011228928026289	0.000212795823057646		AT2G30710	Up-regulated	Up-regulated (16804)
AT2G39530	602.21136873958	0.940322682680195	0.106282023857406	8.84742921288165	8.95584062041185e-19	3.65369752800866e-17	CASPL4D1	CASPL4D1	Up-regulated	Up-regulated (16804)
AT2G29060	515.480120028059	0.708549975421901	0.147590307573928	4.80078934090566	1.58041450581849e-06	4.45702135488331e-06		AT2G29060	Up-regulated	Up-regulated (16804)
AT2G25160	160.126340935734	0.482005937808364	0.171819389192307	2.80530585095309	0.0050268855009785	0.00700868779767443	CYP82F1	CYP82F1	Up-regulated	Up-regulated (16804)
AT2G32630	62.8551997047332	0.866604045077395	0.256598706843533	3.37727362595723	0.000732081846694625	0.00118578268113777		AT2G32630	Up-regulated	Up-regulated (16804)
AT2G24550	1701.07029312796	0.432593413609594	0.1739270961132	2.4872111550005	0.0128748956503453	0.0167969080723068		AT2G24550	Up-regulated	Up-regulated (16804)
AT2G47260	118.162316314827	0.74050891070256	0.194120154118314	3.81469360595722	0.000136352002712234	0.000254394553661888	ATWRKY23	ATWRKY23	Up-regulated	Up-regulated (16804)
